ID Chr Add.Allele1 ADD.Allele2 Dominance
Q29 1 0.231098323917802 -0.231098323917802 0.104127416726972
Q30 1 0.0260449641000453 -0.0260449641000453 -0.000237511559913076
Q31 1 0.00263618405427549 -0.00263618405427549 0.00215074221637118
Q32 1 0.00111819247578773 -0.00111819247578773 -0.000407024902036048
Q33 1 0.00375905968750817 -0.00375905968750817 -0.00445443727189392
Q34 1 0.299198619343056 -0.299198619343056 0.0214420380847926
Q35 2 0.0225679430361605 -0.0225679430361605 -0.0623378085514757
Q36 2 0.0380529898198083 -0.0380529898198083 -0.0611408519828446
Q37 2 0.0101209444986046 -0.0101209444986046 0.00155869824902383
Q38 2 0.0684733605320793 -0.0684733605320793 -0.0102897835596169
Q39 2 0.081304511645359 -0.081304511645359 0.184720358859244
Q40 2 0.0835182691455872 -0.0835182691455872 0.0863942346734023
Q41 2 0.00136585506032146 -0.00136585506032146 0.00396314892884669
Q42 2 0.0361330222399897 -0.0361330222399897 0.013337888354709
Q43 2 0.0117419975729992 -0.0117419975729992 0.0201645722901926
Q44 2 0.114586501340864 -0.114586501340864 0.0990015852811374
Q45 2 0.00129877298014074 -0.00129877298014074 0.00243104167895355
Q46 2 0.108707290051612 -0.108707290051612 -0.0455849436310535
Q47 2 0.0098064309749258 -0.0098064309749258 0.00730191590908455
Q48 2 0.0455358254190667 -0.0455358254190667 -0.00830899927467066
Q49 2 0.0156190879939193 -0.0156190879939193 -0.0248445379769417
Q50 2 0.175944948454229 -0.175944948454229 0.128979397315805
Q51 2 0.0321623877663569 -0.0321623877663569 -0.0100177611846391
Q52 2 0.0118620068005529 -0.0118620068005529 -0.00433675764724523
Q53 2 0.000107989507881683 -0.000107989507881683 0.000243894844855585
Q54 2 0.000220279999510724 -0.000220279999510724 -0.000131226476660728
Q55 2 5.60857089205075e-05 -5.60857089205075e-05 -7.04970151689326e-05
Q56 2 0.0461423143386882 -0.0461423143386882 0.0743136525455831
Q57 2 0.0132957124651182 -0.0132957124651182 0.00662374366476473
Q58 2 0.000838108312834408 -0.000838108312834408 -0.000976307042586934
Q59 2 0.0534085733547425 -0.0534085733547425 0.137282877908831
Q60 2 0.00453770361767163 -0.00453770361767163 -0.0048625200658189
Q61 2 0.0659444933075305 -0.0659444933075305 -0.00388367158991849
Q62 2 0.349261522276926 -0.349261522276926 -0.313941392507546
Q63 2 0.00920238587929008 -0.00920238587929008 -0.00151738788779919
Q64 2 0.000206082332096245 -0.000206082332096245 -0.000138933759911355
Q65 2 0.0145461555626761 -0.0145461555626761 0.0403729377637921
Q66 2 0.00910425388045125 -0.00910425388045125 0.0194075186161868
Q67 2 0.0543201505271718 -0.0543201505271718 0.00186448196545542
Q68 2 0.000276003870771167 -0.000276003870771167 0.00051424506673928
Q69 2 0.0106922259026313 -0.0106922259026313 -0.00276694451844886
Q70 2 0.0946756261216696 -0.0946756261216696 -0.133214382980766
Q71 2 0.00547142354876564 -0.00547142354876564 0.00176434224457243
Q72 2 0.0132598059152008 -0.0132598059152008 -0.0193757842253707
Q73 2 8.79280241040746e-07 -8.79280241040746e-07 -3.55107052264547e-06
Q74 2 0.0162326485042787 -0.0162326485042787 -0.00849236741732977
Q75 2 0.054259328367366 -0.054259328367366 0.0432453505719264
Q76 3 0.0897566999662645 -0.0897566999662645 0.0357884569750625
Q77 3 0.00267556118571898 -0.00267556118571898 -0.00376278400229095
Q78 3 0.0523496586988857 -0.0523496586988857 0.06862351202463
Q79 3 0.0483589613440471 -0.0483589613440471 0.0882855532826874
Q80 3 0.00122206210765533 -0.00122206210765533 -0.000494310365505322
Q81 3 0.000164002638759675 -0.000164002638759675 9.1420276209149e-05
Q82 3 0.00498877628632532 -0.00498877628632532 0.0126445894811404
Q83 3 0.25653044323714 -0.25653044323714 0.14755101972081
Q84 3 0.012125392498876 -0.012125392498876 0.0244095506521594
Q85 3 0.000215679840397677 -0.000215679840397677 -4.67206728861713e-05
Q86 3 0.0180432981981638 -0.0180432981981638 0.0285887316539581
Q87 3 0.00323147617066628 -0.00323147617066628 0.00895628137416359
Q88 3 0.00157554792479525 -0.00157554792479525 0.000591111801575815
Q89 3 0.0318728931907278 -0.0318728931907278 0.0522561824155344
Q90 3 0.012816135669335 -0.012816135669335 0.00705098037157486
Q91 3 0.0265367676683773 -0.0265367676683773 0.00410251022388038
Q92 3 0.0086637524022818 -0.0086637524022818 0.000287669208055232
Q93 3 0.0731551441693966 -0.0731551441693966 0.0581867973296587
Q94 3 0.0944583149467439 -0.0944583149467439 -0.0141288039276486
Q95 3 0.0211494449912662 -0.0211494449912662 0.000383966183486373
Q96 3 0.0070021201427662 -0.0070021201427662 0.0125433049013246
Q97 3 0.00786111029681177 -0.00786111029681177 0.00926591690375972
Q98 3 2.18961420146209e-05 -2.18961420146209e-05 4.15229870484144e-06
Q99 3 0.0799610947211423 -0.0799610947211423 -0.000818686980095581
Q100 3 0.0207443494530431 -0.0207443494530431 0.0213729698586368
Q101 3 0.218042906650005 -0.218042906650005 0.120336143199354
Q102 3 1.85943087038213e-05 -1.85943087038213e-05 3.011601108723e-05
Q103 3 0.00516370274341072 -0.00516370274341072 0.00635868900447471
Q104 3 0.00644473876089709 -0.00644473876089709 -0.00309458703631759
Q105 3 0.000555589598142369 -0.000555589598142369 0.000328746545834628
Q106 3 0.0135012000753199 -0.0135012000753199 -0.030409914030905
Q107 3 0.00452092661234739 -0.00452092661234739 0.00627726363840127
Q108 3 0.210184036538743 -0.210184036538743 0.288945123520924
Q109 3 0.0162637328626993 -0.0162637328626993 0.0331338787556948
Q110 3 0.00306730891904237 -0.00306730891904237 0.00304949890292071
Q111 3 0.0367186395792981 -0.0367186395792981 -0.032572237125463
Q112 3 0.0601835062510711 -0.0601835062510711 0.220625992417938
Q113 3 0.0676986566437681 -0.0676986566437681 0.129289103722664
Q114 3 3.05577444426102e-05 -3.05577444426102e-05 -3.28232711743168e-06
Q115 3 0.131524045848587 -0.131524045848587 0.235315460978546
